Name,Round,SecondsTarget2,ConfidentLevel,SecondsConfident,Score,PlayerTarget2,PlayerTarget1,SecondsTarget1,Images,Target Position,Correct_1,Correct_2,AI Position 1,AI Position 2,AI1 Correct,AI2 Correct
S1,1,0.45,5,0.92,2,1,1,0.75,M34,1,1,1,1,1,1,1
S1,2,0.42,5,1.05,4,1,1,0.57,M33,1,1,1,3,1,0,1
S1,3,0.62,5,0.77,6,4,4,0.73,HT24,4,1,1,4,6,1,0
S1,4,0.43,5,0.6,8,5,5,0.77,N58,5,1,1,6,6,0,0
S1,5,0.57,5,0.85,10,5,5,0.45,E13,5,1,1,6,1,0,0
S1,6,0.5,5,0.62,12,1,1,0.7,HT26,1,1,1,1,1,1,1
S1,8,0.52,5,0.58,15,2,2,0.83,E15,2,1,1,2,4,1,0
S1,9,0.9,5,1.47,15,6,6,0.72,N97,6,1,1,1,1,0,0
S1,10,0.28,5,0.9,15,5,5,0.47,E31,1,0,0,5,6,0,0
S1,11,0.3,0,0,17,5,5,1.15,N61,5,1,1,5,5,1,1
S1,12,0.33,5,0.63,18,3,6,0.63,E30,3,0,1,5,3,0,1
S1,13,0.32,2,1.27,20,3,3,0.65,HT41,3,1,1,3,6,1,0
S1,14,0.97,1,0.7,21,2,3,0.58,N69,3,1,0,1,1,0,0
S1,15,0.5,3,1.23,21,2,2,0.02,N14,5,0,0,2,4,0,0
S1,16,0.4,5,0.65,23,2,2,0.63,N51,2,1,1,2,2,1,1
S1,17,0.18,2,0.63,25,5,5,1.47,HT66,5,1,1,1,5,0,1
S1,18,0.42,2,0.85,26,2,5,0.93,HT101,5,1,0,5,2,1,0
S1,19,0.55,2,0.98,26,2,2,1.68,N71,3,0,0,1,1,0,0
S1,20,0.43,2,0.45,26,4,4,0.85,N16,5,0,0,1,4,0,0
S1,21,0.63,2,0.63,26,2,2,1.63,N48,1,0,0,1,1,1,1
S1,22,0.3,3,1.05,27,2,5,0.67,N15,2,0,1,5,2,0,1
S1,23,0.32,5,0.98,29,4,4,0.58,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S1,24,0.53,5,1.42,31,1,1,0.58,N114,1,1,1,3,3,0,0
S1,25,0.98,1,0.95,31,3,3,0.23,N83,2,0,0,6,1,0,0
S1,26,0.32,5,0.75,33,4,4,0.52,N102,4,1,1,4,4,1,1
S1,27,0.47,4,1.5,35,5,5,0.55,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S1,28,0.35,5,1.7,36,2,5,1.13,N154A-Fish-859.jpg,2,0,1,2,3,1,0
S1,29,0.47,2,1.3,36,6,6,0.72,N74,5,0,0,2,2,0,0
S1,30,0.35,2,0.88,38,4,4,0.72,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S1,31,0.55,5,0.6,40,4,4,0.88,E36A - lizard.jpg,4,1,1,4,4,1,1
S1,32,0.47,2,0.42,42,2,2,1.07,N152A-Fish-801.jpg,2,1,1,4,2,0,1
S1,33,0.4,3,0.47,44,1,1,0.53,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S1,34,1.45,2,1.07,45,3,2,0.53,N77,2,1,0,1,1,0,0
S1,35,0.42,2,0.55,47,2,2,0.68,HT80A-Spider-2560.jpg,2,1,1,5,6,0,0
S1,36,0.35,5,1.22,49,5,5,0.43,40A - Tutle.jpg,5,1,1,5,5,1,1
S1,37,0.87,5,0.63,50,2,5,1.42,55A - Fog.jpg,2,0,1,6,2,0,1
S1,38,0.43,5,1.1,52,2,2,0.52,49A - Insect.jpg,2,1,1,2,6,1,0
S1,39,0.53,5,0.95,54,2,2,0.55,N213A-Lizard-2136.jpg,2,1,1,4,4,0,0
S1,40,0.42,3,1.18,56,1,1,0.5,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S2,1,0.28,5,1.05,2,1,1,0.4,M34,1,1,1,1,1,1,1
S2,2,0.28,5,0.77,4,1,1,1.18,M33,1,1,1,3,1,0,1
S2,3,0.33,5,0.77,6,4,4,0.8,HT24,4,1,1,4,6,1,0
S2,4,0.42,5,0.73,8,5,5,0.42,N58,5,1,1,6,6,0,0
S2,5,0.52,5,0.92,10,5,5,0.52,E13,5,1,1,6,1,0,0
S2,6,0.37,5,0.53,12,1,1,0.47,HT26,1,1,1,1,1,1,1
S2,7,0.3,5,0.48,14,5,5,0.45,HT22,5,1,1,2,5,0,1
S2,8,0.32,5,0.88,16,2,2,0.38,E15,2,1,1,2,4,1,0
S2,9,0.47,4,0.93,16,6,6,0.48,N97,6,1,1,1,1,0,0
S2,10,0.33,2,0.37,16,2,2,0.85,E31,1,0,0,5,6,0,0
S2,11,0.43,5,0.9,18,5,5,0.43,N61,5,1,1,5,5,1,1
S2,12,0.5,5,0.52,20,3,3,0.38,E30,3,1,1,5,3,0,1
S2,13,0.37,5,0.87,22,3,3,0.47,HT41,3,1,1,3,6,1,0
S2,14,0.43,5,0.63,22,5,5,0.98,N69,3,0,0,1,1,0,0
S2,15,0.3,5,0.63,22,3,3,0.45,N14,5,0,0,2,4,0,0
S2,16,0.45,1,0.47,22,4,4,0.33,N51,2,0,0,2,2,1,1
S2,17,0.28,3,0.35,22,4,4,0.32,HT66,5,0,0,1,5,0,1
S2,18,0.37,2,0.37,22,3,6,0.43,HT101,5,0,0,5,2,1,0
S2,19,0.45,2,0.48,22,2,4,0.67,N71,3,0,0,1,1,0,0
S2,20,0.28,3,1.27,24,5,5,0.4,N16,5,1,1,1,4,0,0
S2,21,0.3,2,0.38,25,1,4,0.47,N48,1,0,1,1,1,1,1
S2,22,0.8,2,1.02,25,5,5,0.4,N15,2,0,0,5,2,0,1
S2,23,0.15,2,1.63,27,4,4,0.45,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S2,24,0.13,5,0.37,29,1,1,0.25,N114,1,1,1,3,3,0,0
S2,25,0.27,2,0.48,29,3,4,0.37,N83,2,0,0,6,1,0,0
S2,26,0.37,5,1.17,31,4,4,0.13,N102,4,1,1,4,4,1,1
S2,27,0.45,5,0.83,33,5,5,0.43,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S2,28,0.28,2,0.47,35,2,2,0.37,N154A-Fish-859.jpg,2,1,1,2,3,1,0
S2,29,0.33,3,0.65,35,6,6,0.4,N74,5,0,0,2,2,0,0
S2,30,0.32,3,1.67,37,4,4,0.32,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S2,31,0.32,5,0.83,39,4,4,0.4,E36A - lizard.jpg,4,1,1,4,4,1,1
S2,32,0.35,3,0.33,39,3,3,0.45,N152A-Fish-801.jpg,2,0,0,4,2,0,1
S2,33,0.5,3,1.35,41,1,1,0.42,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S2,34,0.08,5,1.2,43,2,2,0.38,N77,2,1,1,1,1,0,0
S2,35,0.38,3,1.05,44,2,3,0.23,HT80A-Spider-2560.jpg,2,0,1,5,6,0,0
S2,36,0.35,5,1.72,46,5,5,0.42,40A - Tutle.jpg,5,1,1,5,5,1,1
S2,37,0.63,2,0.37,46,6,6,0.4,55A - Fog.jpg,2,0,0,6,2,0,1
S2,38,0.23,3,1.5,48,2,2,0.33,49A - Insect.jpg,2,1,1,2,6,1,0
S2,39,0.23,2,0.7,48,5,1,0.33,N213A-Lizard-2136.jpg,2,0,0,4,4,0,0
S2,40,0.33,5,0.9,50,1,1,0.33,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S3,1,0.28,5,1.43,2,1,1,0.93,M34,1,1,1,1,1,1,1
S3,2,0.23,5,0.3,4,1,1,0.7,M33,1,1,1,3,1,0,1
S3,3,0.35,5,0.38,6,4,4,0.53,HT24,4,1,1,4,6,1,0
S3,4,1.27,0,0.42,6,6,4,1.78,N58,5,0,0,6,6,0,0
S3,5,1.23,0,0.67,6,3,3,0.77,E13,5,0,0,6,1,0,0
S3,6,0.28,5,0.43,8,1,1,0.28,HT26,1,1,1,1,1,1,1
S3,7,0.32,3,0.9,9,5,2,0.83,HT22,5,0,1,2,5,0,1
S3,8,0.32,5,0.37,11,2,2,0.35,E15,2,1,1,2,4,1,0
S3,9,0.4,4,0.35,11,6,1,0.9,N97,6,0,1,1,1,0,0
S3,10,0.33,5,0.33,12,1,5,0.87,E31,1,0,1,5,6,0,0
S3,11,0.4,5,0.68,14,5,5,0.43,N61,5,1,1,5,5,1,1
S3,12,0.58,5,0.35,15,3,5,0.25,E30,3,0,1,5,3,0,1
S3,13,0.27,5,0.38,17,3,3,0.28,HT41,3,1,1,3,6,1,0
S3,14,0.68,1,0.35,17,1,6,0.42,N69,3,0,0,1,1,0,0
S3,15,0.33,2,0.97,17,6,2,0.42,N14,5,0,0,2,4,0,0
S3,16,0.3,5,0.58,19,2,2,0.3,N51,2,1,1,2,2,1,1
S3,17,0.5,2,0.32,21,5,5,0.63,HT66,5,1,1,1,5,0,1
S3,18,0.95,1,0.87,21,3,3,0.75,HT101,5,0,0,5,2,1,0
S3,19,0.43,4,0.52,21,1,1,0.32,N71,3,0,0,1,1,0,0
S3,20,0.28,5,0.4,22,5,2,0.45,N16,5,0,1,1,4,0,0
S3,21,0.27,5,0.63,23,1,2,1.38,N48,1,0,1,1,1,1,1
S3,22,0.47,4,0.35,25,2,2,0.28,N15,2,1,1,5,2,0,1
S3,23,0.28,5,0.65,27,4,4,0.33,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S3,24,0.32,3,0.43,28,1,3,0.32,N114,1,0,1,3,3,0,0
S3,25,0.28,2,0.38,29,2,6,0.5,N83,2,0,1,6,1,0,0
S3,26,0.42,5,0.53,31,4,4,0.6,N102,4,1,1,4,4,1,1
S3,27,0.3,4,0.47,33,5,5,0.43,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S3,28,0.28,5,0.47,35,2,2,0.25,N154A-Fish-859.jpg,2,1,1,2,3,1,0
S3,29,0.72,2,0.85,36,5,2,0.6,N74,5,0,1,2,2,0,0
S3,30,0.43,3,0.98,38,4,4,0.72,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S3,31,0.45,4,0.37,40,4,4,0.3,E36A - lizard.jpg,4,1,1,4,4,1,1
S3,32,0.32,2,0.37,42,2,2,0.23,N152A-Fish-801.jpg,2,1,1,4,2,0,1
S3,33,0.4,2,0.32,42,5,2,0.97,HT67A-OrpionFish-932.jpg,1,0,0,1,5,1,0
S3,34,0.32,5,0.63,44,2,2,0.52,N77,2,1,1,1,1,0,0
S3,35,0.33,1,0.38,44,3,3,0.62,HT80A-Spider-2560.jpg,2,0,0,5,6,0,0
S3,36,0.32,4,0.38,46,5,5,0.53,40A - Tutle.jpg,5,1,1,5,5,1,1
S3,37,0.3,4,0.47,47,2,1,0.62,55A - Fog.jpg,2,0,1,6,2,0,1
S3,38,0.3,4,0.48,49,2,2,0.28,49A - Insect.jpg,2,1,1,2,6,1,0
S3,39,0.23,5,0.67,51,2,2,0.3,N213A-Lizard-2136.jpg,2,1,1,4,4,0,0
S3,40,0.38,5,0.53,53,1,1,0.7,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S4,1,0.53,5,1.12,2,1,1,0.68,M34,1,1,1,1,1,1,1
S4,2,0.47,5,0.92,4,1,1,0.52,M33,1,1,1,3,1,0,1
S4,3,0.52,5,0.63,6,4,4,0.48,HT24,4,1,1,4,6,1,0
S4,4,0.55,5,1.08,8,5,5,0.5,N58,5,1,1,6,6,0,0
S4,5,0.32,5,0.72,10,5,5,0.67,E13,5,1,1,6,1,0,0
S4,6,0.58,5,0.63,12,1,1,0.88,HT26,1,1,1,1,1,1,1
S4,7,0.43,2,0.57,14,5,5,0.43,HT22,5,1,1,2,5,0,1
S4,8,0.47,5,0.38,16,2,2,0.45,E15,2,1,1,2,4,1,0
S4,9,0.55,5,0.48,16,6,6,0.75,N97,6,1,1,1,1,0,0
S4,10,0.37,5,0.47,17,1,5,0.65,E31,1,0,1,5,6,0,0
S4,11,0.32,5,0.6,19,5,5,0.78,N61,5,1,1,5,5,1,1
S4,12,0.67,4,0.68,20,3,5,0.75,E30,3,0,1,5,3,0,1
S4,13,0.3,4,0.75,22,3,3,0.3,HT41,3,1,1,3,6,1,0
S4,14,0.8,0,0.4,22,6,1,1.15,N69,3,0,0,1,1,0,0
S4,15,1,1,1.22,23,5,2,0.82,N14,5,0,1,2,4,0,0
S4,16,0.32,5,0.35,25,2,2,0.5,N51,2,1,1,2,2,1,1
S4,17,0.48,2,0.97,25,6,6,0.78,HT66,5,0,0,1,5,0,1
S4,18,0.47,3,1.43,27,5,5,0.92,HT101,5,1,1,5,2,1,0
S4,19,0.27,3,0.65,28,3,2,0.97,N71,3,0,1,1,1,0,0
S4,20,0.38,1,1.1,28,6,6,1.03,N16,5,0,0,1,4,0,0
S4,21,0.3,2,0.43,28,2,2,0.55,N48,1,0,0,1,1,1,1
S4,22,0.3,3,0.57,29,2,5,0.48,N15,2,0,1,5,2,0,1
S4,23,0.33,5,1.15,31,4,4,0.42,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S4,24,0.38,5,1,33,1,1,0.47,N114,1,1,1,3,3,0,0
S4,25,1.13,2,1.67,33,6,5,1.08,N83,2,0,0,6,1,0,0
S4,26,0.3,4,0.52,35,4,4,0.43,N102,4,1,1,4,4,1,1
S4,27,0.32,4,0.62,37,5,5,0.55,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S4,28,0.37,3,0.55,39,2,2,0.47,N154A-Fish-859.jpg,2,1,1,2,3,1,0
S4,29,0.3,3,0.75,41,5,5,0.42,N74,5,1,1,2,2,0,0
S4,30,0.42,5,1.13,43,4,4,0.33,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S4,31,0.3,5,0.5,45,4,4,0.73,E36A - lizard.jpg,4,1,1,4,4,1,1
S4,32,0.47,2,0.98,46,2,4,0.6,N152A-Fish-801.jpg,2,0,1,4,2,0,1
S4,33,0.47,4,0.95,48,1,1,0.57,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S4,34,0.33,1,0.72,49,5,2,0.4,N77,2,1,0,1,1,0,0
S4,35,1.07,2,0.5,49,3,3,0.35,HT80A-Spider-2560.jpg,2,0,0,5,6,0,0
S4,36,0.2,4,1.15,51,5,5,0.4,40A - Tutle.jpg,5,1,1,5,5,1,1
S4,37,0.3,3,1.07,52,2,1,0.85,55A - Fog.jpg,2,0,1,6,2,0,1
S4,38,0.28,2,0.35,52,1,6,0.85,49A - Insect.jpg,2,0,0,2,6,1,0
S4,39,0.28,2,0.37,53,2,5,0.72,N213A-Lizard-2136.jpg,2,0,1,4,4,0,0
S4,40,0.35,4,0.38,55,1,1,0.28,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S5,1,0.5,5,0.42,2,1,1,0.47,M34,1,1,1,1,1,1,1
S5,2,0.48,4,0.4,4,1,1,0.53,M33,1,1,1,3,1,0,1
S5,3,0.45,5,0.57,6,4,4,0.63,HT24,4,1,1,4,6,1,0
S5,4,0.53,5,0.68,8,5,5,0.43,N58,5,1,1,6,6,0,0
S5,5,0.52,5,0.7,10,5,5,0.57,E13,5,1,1,6,1,0,0
S5,6,0.55,5,0.87,12,1,1,1.93,HT26,1,1,1,1,1,1,1
S5,7,0.63,3,0.8,13,5,2,1.43,HT22,5,0,1,2,5,0,1
S5,8,0.48,5,0.53,15,2,2,0.7,E15,2,1,1,2,4,1,0
S5,9,0.53,5,0.52,15,6,6,0.57,N97,6,1,1,1,1,0,0
S5,10,0.55,2,0.7,15,5,5,0.42,E31,1,0,0,5,6,0,0
S5,11,0.38,5,0.52,17,5,5,0.68,N61,5,1,1,5,5,1,1
S5,12,0.67,5,0.58,18,3,5,0.4,E30,3,0,1,5,3,0,1
S5,14,0.4,5,0.57,21,3,3,1.05,N69,3,1,1,1,1,0,0
S5,15,0.52,5,0.5,23,5,5,0.65,N14,5,1,1,2,4,0,0
S5,16,0.37,5,0.62,25,2,2,0.57,N51,2,1,1,2,2,1,1
S5,17,0.33,5,0.53,27,5,5,0.5,HT66,5,1,1,1,5,0,1
S5,18,0.42,5,0.75,29,5,5,0.45,HT101,5,1,1,5,2,1,0
S5,19,0.38,4,0.35,30,3,1,0.72,N71,3,0,1,1,1,0,0
S5,20,0.38,4,0.68,31,5,6,0.62,N16,5,0,1,1,4,0,0
S5,21,0.45,5,0.62,33,1,1,0.8,N48,1,1,1,1,1,1,1
S5,22,0.47,5,0.3,35,2,2,0.72,N15,2,1,1,5,2,0,1
S5,23,0.43,5,0.47,37,4,4,0.47,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S5,24,0.38,4,0.32,39,1,1,0.42,N114,1,1,1,3,3,0,0
S5,25,0.53,4,0.67,41,2,2,0.53,N83,2,1,1,6,1,0,0
S5,26,0.38,5,0.48,43,4,4,0.42,N102,4,1,1,4,4,1,1
S5,27,0.38,5,0.5,45,5,5,0.43,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S5,28,0.35,5,0.58,47,2,2,0.48,N154A-Fish-859.jpg,2,1,1,2,3,1,0
S5,29,0.3,3,0.42,49,5,5,0.37,N74,5,1,1,2,2,0,0
S5,30,0.72,5,0.43,51,4,4,0.43,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S5,31,0.4,5,0.87,53,4,4,0.4,E36A - lizard.jpg,4,1,1,4,4,1,1
S5,32,0.42,5,0.4,55,2,2,0.6,N152A-Fish-801.jpg,2,1,1,4,2,0,1
S5,33,0.58,5,0.53,57,1,1,0.48,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S5,34,0.4,5,0.5,59,2,2,0.42,N77,2,1,1,1,1,0,0
S5,35,0.77,2,0.45,61,2,2,0.47,HT80A-Spider-2560.jpg,2,1,1,5,6,0,0
S5,36,0.35,5,0.83,63,5,5,0.57,40A - Tutle.jpg,5,1,1,5,5,1,1
S5,37,0.93,5,0.73,64,2,6,0.48,55A - Fog.jpg,2,0,1,6,2,0,1
S5,38,0.38,3,0.37,66,2,2,0.68,49A - Insect.jpg,2,1,1,2,6,1,0
S5,39,0.62,5,0.4,68,2,2,0.48,N213A-Lizard-2136.jpg,2,1,1,4,4,0,0
S5,40,0.47,3,0.5,69,1,3,0.55,HT84A-Spider-2766.jpg,1,0,1,3,4,0,0
S6,1,0.38,5,0.47,2,1,1,0.4,M34,1,1,1,1,1,1,1
S6,2,0.33,5,0.79,3,1,3,0.36,M33,1,0,1,3,1,0,1
S6,3,0.45,5,1,5,4,4,0.27,HT24,4,1,1,4,6,1,0
S6,4,0.09,5,1.26,5,6,6,0.27,N58,5,0,0,6,6,0,0
S6,5,0.31,4,1.24,7,5,5,0.31,E13,5,1,1,6,1,0,0
S6,6,0.32,5,0.77,9,1,1,0.27,HT26,1,1,1,1,1,1,1
S6,7,0.3,5,0.41,11,5,5,0.36,HT22,5,1,1,2,5,0,1
S6,8,0.64,5,0.49,13,2,2,0.2,E15,2,1,1,2,4,1,0
S6,9,0.3,4,0.65,13,6,6,0.26,N97,6,1,1,1,1,0,0
S6,10,0.12,5,1.03,15,1,1,0.24,E31,1,1,1,5,6,0,0
S6,11,0.29,5,0.66,17,5,5,0.36,N61,5,1,1,5,5,1,1
S6,12,0.34,5,0.44,18,3,5,0.74,E30,3,0,1,5,3,0,1
S6,13,0.28,5,0.36,20,3,3,0.29,HT41,3,1,1,3,6,1,0
S6,14,0.18,5,0.49,21,3,1,0.53,N69,3,0,1,1,1,0,0
S6,15,0.51,5,0.28,21,4,2,0.38,N14,5,0,0,2,4,0,0
S6,16,0.44,5,0.33,23,2,2,0.25,N51,2,1,1,2,2,1,1
S6,17,0.43,5,0.63,23,2,1,0.62,HT66,5,0,0,1,5,0,1
S6,18,0.95,5,0.38,25,5,5,0.56,HT101,5,1,1,5,2,1,0
S6,19,0.14,3,0.31,25,1,1,0.41,N71,3,0,0,1,1,0,0
S6,20,0.11,5,0.25,27,5,5,0.3,N16,5,1,1,1,4,0,0
S6,21,0.37,5,0.3,28,1,4,0.38,N48,1,0,1,1,1,1,1
S6,22,0.87,5,1.01,30,2,2,0.31,N15,2,1,1,5,2,0,1
S6,23,0.23,5,0.75,32,4,4,0.35,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S6,24,0.26,1,0.42,32,3,3,0.32,N114,1,0,0,3,3,0,0
S6,25,0.37,1,1.13,32,1,6,0.29,N83,2,0,0,6,1,0,0
S6,26,0.01,5,0.56,34,4,4,0.33,N102,4,1,1,4,4,1,1
S6,27,0.26,5,0.53,36,5,5,0.64,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S6,28,0.35,5,0.42,38,2,2,0.28,N154A-Fish-859.jpg,2,1,1,2,3,1,0
S6,29,0.98,2,0.45,40,5,5,0.59,N74,5,1,1,2,2,0,0
S6,30,0.87,2,1.3,42,4,4,0.28,H26A - Seahorn.jpg,4,1,1,1,2,0,0
S6,31,0.27,5,0.4,44,4,4,0.31,E36A - lizard.jpg,4,1,1,4,4,1,1
S6,32,0.28,3,0.88,44,4,4,0.27,N152A-Fish-801.jpg,2,0,0,4,2,0,1
S6,33,0.2,5,0.56,46,1,1,0.32,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S6,34,0.26,2,0.42,46,1,1,0.52,N77,2,0,0,1,1,0,0
S6,35,1.71,2,1.27,46,5,5,0.35,HT80A-Spider-2560.jpg,2,0,0,5,6,0,0
S6,36,0.23,5,0.62,48,5,5,0.34,40A - Tutle.jpg,5,1,1,5,5,1,1
S6,37,0.32,5,0.79,49,2,6,1.2,55A - Fog.jpg,2,0,1,6,2,0,1
S6,38,0.2,2,0.38,51,2,2,0.36,49A - Insect.jpg,2,1,1,2,6,1,0
S6,39,0.29,5,0.57,53,2,2,0.28,N213A-Lizard-2136.jpg,2,1,1,4,4,0,0
S6,40,0.28,5,0.53,55,1,1,0.28,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S7,1,0.47,4,0.98,2,1,1,0.75,M34,1,1,1,1,1,1,1
S7,2,0.83,5,1.55,3,1,3,1.1,M33,1,0,1,3,1,0,1
S7,3,0.72,4,1.5,5,4,4,0.98,HT24,4,1,1,4,6,1,0
S7,4,0.9,5,1.15,6,5,4,1,N58,5,0,1,6,6,0,0
S7,5,1.32,0,0,6,3,3,0.87,E13,5,0,0,6,1,0,0
S7,6,0.62,5,0.65,8,1,1,1,HT26,1,1,1,1,1,1,1
S7,7,0.72,5,1.3,10,5,5,1.2,HT22,5,1,1,2,5,0,1
S7,8,1.87,5,1.22,12,2,2,0.57,E15,2,1,1,2,4,1,0
S7,9,0.82,5,1.05,12,6,6,1.93,N97,6,1,1,1,1,0,0
S7,10,1,4,1.23,12,5,5,1.25,E31,1,0,0,5,6,0,0
S7,11,0.42,5,1.17,14,5,5,0.62,N61,5,1,1,5,5,1,1
S7,12,1.02,5,0.93,15,3,2,1.2,E30,3,0,1,5,3,0,1
S7,13,1.75,5,1.1,16,6,3,0.92,HT41,3,1,0,3,6,1,0
S7,14,0.3,4,0.57,16,1,1,1.12,N69,3,0,0,1,1,0,0
S7,15,0.73,5,0.88,16,2,2,1.17,N14,5,0,0,2,4,0,0
S7,16,0.47,5,1.15,17,2,5,1.6,N51,2,0,1,2,2,1,1
S7,17,1.22,4,1.38,18,5,4,1.03,HT66,5,0,1,1,5,0,1
S7,18,0.7,5,1.02,20,5,5,0.58,HT101,5,1,1,5,2,1,0
S7,20,1.02,4,1.37,22,4,5,0.77,N16,5,1,0,1,4,0,0
S7,21,0.33,3,1.18,22,2,2,0.72,N48,1,0,0,1,1,1,1
S7,22,0.38,5,1.18,24,2,2,0.35,N15,2,1,1,5,2,0,1
S7,23,0.38,5,1.2,26,4,4,0.88,HT106A-Frog-4727.jpg,4,1,1,4,3,1,0
S7,24,0.48,4,1.23,28,1,1,1.2,N114,1,1,1,3,3,0,0
S7,25,0.38,3,0.8,28,6,6,0.85,N83,2,0,0,6,1,0,0
S7,26,0.47,5,1.32,30,4,4,0.88,N102,4,1,1,4,4,1,1
S7,27,0.68,4,0.88,32,5,5,0.52,HT73A-SeaHorse-959.jpg,5,1,1,1,5,0,1
S7,28,0.73,4,0.38,32,3,1,0.88,N154A-Fish-859.jpg,2,0,0,2,3,1,0
S7,29,0.52,1,1.33,33,5,2,0.05,N74,5,0,1,2,2,0,0
S7,30,0.7,3,1.63,33,3,3,1.17,H26A - Seahorn.jpg,4,0,0,1,2,0,0
S7,31,0.48,5,0.93,35,4,4,1.08,E36A - lizard.jpg,4,1,1,4,4,1,1
S7,32,0.48,5,1.13,36,2,5,0.43,N152A-Fish-801.jpg,2,0,1,4,2,0,1
S7,33,0.83,4,1.02,38,1,1,1.07,HT67A-OrpionFish-932.jpg,1,1,1,1,5,1,0
S7,34,0.62,5,0.52,40,2,2,0.32,N77,2,1,1,1,1,0,0
S7,35,0.58,5,1.17,42,2,2,0.97,HT80A-Spider-2560.jpg,2,1,1,5,6,0,0
S7,36,0.8,5,1.32,43,5,4,1.17,40A - Tutle.jpg,5,0,1,5,5,1,1
S7,37,1.27,5,0.8,44,2,6,0.5,55A - Fog.jpg,2,0,1,6,2,0,1
S7,38,1.25,5,1.15,44,6,3,0.42,49A - Insect.jpg,2,0,0,2,6,1,0
S7,39,0.57,4,1.25,44,4,1,0.5,N213A-Lizard-2136.jpg,2,0,0,4,4,0,0
S7,40,0.98,4,1.35,46,1,1,0.52,HT84A-Spider-2766.jpg,1,1,1,3,4,0,0
S8,1,0.4,5,0.52,2,1,1,0.47,M34,1,1,1,1,1,1,1
S8,2,0.72,4,0.43,4,1,1,1.5,M33,1,1,1,3,1,0,1
S8,3,0.3,5,0.62,6,4,4,0.42,HT24,4,1,1,4,6,1,0
S8,4,0.27,5,0.35,8,5,5,0.28,N58,5,1,1,6,6,0,0
S8,5,0.35,5,0.53,10,5,5,0.55,E13,5,1,1,6,1,0,0
S8,6,0.33,5,0.28,12,1,1,0.57,HT26,1,1,1,1,1,1,1
S8,7,0.3,4,0.57,14,5,5,0.58,HT22,5,1,1,2,5,0,1
S8,8,0.28,5,0.25,16,2,2,0.5,E15,2,1,1,2,4,1,0
S8,9,0.25,4,0.35,16,6,6,0.45,N97,6,1,1,1,1,0,0
